Organism	Target	AS event position	AS type	PTC position	Regulators	Regulation	NMD inactivation -> AS	Regulator perturbation without NMD inactivation -> AS	Regulator perturbation with NMD inactivation (or minigene) -> AS	Regulator perturbation ->  protein expression	Regulator perturbation ->  mRNA expression	Target gene paralogs [21880147]	Notes on determining AS isoform coordinates in hg19	"AS element nucleotide conservation, PhastCons 100 vert."	NMD site upstream hg19	NMD site downstream hg19	NMD junction upstream hg19	NMD junction downstream hg19	coding site upstream hg19	coding site downstream hg19	coding junction upstream hg19	coding junction downstream hg19	rMATS AS type
mouse	GABBR1	exon 15	essential exon	downstream	PTBP1	NMD-promoting	yes*	yes	NA	NA	yes	"GABBR2;
GPR156"	There is perfect synteny between the mouse and human exon sequences.	yes			chr6_29576510_29578701_-				chr6_29576510_29577006_-	chr6_29577156_29578701_-	CE
mouse	DLG4	exon 17	essential exon	downstream	"PTBP1; 
PTBP2"	"NMD-promoting;
NMD-promoting"	yes	"yes;
yes"	"NA;
NA"	"yes;
yes"	"NA;
NA"	"DLG1;
DLG2;
DLG3"	There is perfect synteny between the mouse and human exon sequences.	yes			chr17_7094677_7096264_-				chr17_7094677_7095212_-	chr17_7095321_7096264_-	CE
mouse	HPS1	exon 18	poison 5' splice site	downstream	PTBP1	NMD-inhibiting	yes*	yes	yes	yes	yes		"Downstream 5'SS from mice is not expressed in human, but another frame-shifting downstream 5'SS is expressed, and its nucleotide sequence is highly conserved."	yes			chr10_100178014_100179798_-				chr10_100178014_100179802_-		alt 5SS
human	REST	exon 4 ab	poison exon	within	SRRM4	NMD-promoting	NA	yes	yes	NA	NA		-	yes			chr4_57786036_57793781_+	chr4_57793830_57796007_+			chr4_57786036_57796007_+		CE
human	EZH2	exon 8a	poison exon	within	SRSF2	NMD-promoting	yes	*no	*no	*no	*no	EZH1	-	yes			chr7_148515209_148516070_-	chr7_148516151_148516688_-			chr7_148515209_148516688_-		CE
human	INTS3	intron 4	intron retention	within	SRSF2	NMD-promoting	yes	*no	*no	*no	*no		-	no	chr1_153719546_+	chr1_153719755_+					chr1_153719546_153719755_+		complex
human	MDM4	exon 6	essential exon	downstream	"SRSF3;
SRSF7;
SRSF9;
SRSF11"	"NMD-inhibiting;
NMD-promoting;
NMD-promoting;
NMD-promoting"	NA	"yes;
yes;
yes;
yes"	"NA;
NA;
NA;
NA"	"yes;
NA;
NA;
NA"	"no;
NA;
NA;
NA"	MDM2	-	yes			chr1_204501374_204507337_+				chr1_204501374_204506558_+	chr1_204506625_204507337_+	CE
mouse	MDM4	exon 6	essential exon	downstream	NA	NA	yes	NA	NA	NA	NA		Nucleotide sequence of the essential exon and nearby flanking intronic regions is highly conserved	yes			chr1_204501374_204507337_+				chr1_204501374_204506558_+	chr1_204506625_204507337_+	CE
human	CDH1	exon 14	poison 3' splice site	downstream	NA	NA	yes	NA	NA	NA	NA	"CDH3;
CDH5;
CDH13;
CDH15;
CDH17;
CDH26;
CDHR3"	-	yes			chr16_68857529_68862111_+				chr16_68857529_68862077_+		alt 3SS
human	ACTR5	exon 7	poison 3' splice site	downstream	NA	NA	yes	NA	NA	NA	NA	"ACTB;
ACTC1;
ACTBL2;
ACTA2;
ACTG2;
ACTA1"	-	yes			chr20_37394161_37394900_+				chr20_37394161_37394881_+		alt 3SS
mouse	LMNB1	introns 7-9	intron retention	within	NA	NA	yes	NA	NA	NA	NA	"LMNB2;
LMNA;
LMNTD1"	There is synteny between the mouse and human exon sequences.	no	chr5_126156827_+	chr5_126158473_+					chr5_126156827_126158473_+		IR
